,AGOP,PCA,MI,SHAP
cat__MSSubClass_75,0.009276434,3.5782521099360904e-05,0.0007056307148276542,5.909359374999792
cat__BldgType_Twnhs,0.009225833,1.0702494312763727e-06,0.000991462228712825,48.98475094534839
cat__Exterior2nd_HdBoard,0.00918325,6.193755131479334e-06,0.03153123322543383,89.03944381421243
cat__Electrical_FuseF,0.009160567,0.0001710888076799868,0.010827149154876592,23.958083832762533
cat__Exterior1st_Wd Sdng,0.008546812,0.00037827638087272163,0.04106598414738194,136.01798635488004
cat__BsmtFinType2_LwQ,0.008480467,1.2301124962120072e-05,0.006976516363996987,18.62707231021685
cat__Exterior2nd_Wd Sdng,0.008439053,0.00036506441913479584,0.036288118432106886,89.86189158818492
cat__Neighborhood_Veenker,0.008214977,7.025242550197125e-06,0.0009294156048775815,20.699438659389426
cat__BsmtCond_Gd,0.008187974,2.7331074127532464e-05,0.0,22.4171214326484
cat__Neighborhood_NridgHt,0.00811333,0.0003899410572658597,0.05598761037834454,57.465031000285464
cat__Neighborhood_NWAmes,0.0079650665,7.152975509754124e-06,0.023185231772150372,75.45463673658672
cat__Exterior1st_Stucco,0.007873011,1.775577934577274e-05,0.0,9.556768996147245
cat__LandContour_Bnk,0.007842706,0.00012101369276381254,0.015885216532665503,23.249227971603947
cat__Neighborhood_Timber,0.007440574,4.963518412942536e-05,0.0,26.119046286386943
cat__HouseStyle_2.5Unf,0.0072667766,6.0984201373477454e-05,0.00018875695640141466,0.005386147973753329
cat__Alley_Grvl,0.006878884,0.00026921972424700114,0.005792433901834482,35.81552404394964
cat__GarageCond_Fa,0.006864092,0.00017476896762063575,0.023043393581842597,30.848853578053376
cat__BsmtFinType2_Unf,0.006807076,0.00011734276546074041,0.0,59.41338664740298
cat__Electrical_SBrkr,0.0063992427,0.0005188341322997165,0.051252776462696215,46.285314890125576
cat__Exterior2nd_Brk Cmn,0.0060076327,9.379326493266724e-06,0.008018869304354137,1.5218688641552556
cat__Condition1_PosA,0.0060024336,1.6360129235426096e-06,0.015507360118860003,4.026006688784228
cat__BsmtFinType1_Rec,0.005795421,0.00013257497725333045,0.027633198362469358,27.37561934574807
cat__Functional_Maj2,0.0057860333,1.4748186430657707e-05,0.0,1.4076121040239766
cat__BsmtFinType1_BLQ,0.0057247053,8.684896562010202e-05,0.01668106253517987,40.170303974029615
cat__LandContour_Low,0.005711687,9.115555487855528e-07,0.0,28.526876730165377
cat__Functional_Min2,0.0056432746,4.787772338505435e-05,0.010293224181604499,46.60518717893864
cat__BsmtExposure_Mn,0.005508108,2.460718649619034e-06,0.012276601040043689,79.03854270119865
cat__Exterior1st_BrkComm,0.0052370355,1.5769200156061007e-05,0.0023094844045383756,0.0
cat__SaleCondition_Alloca,0.004929981,4.798583066147889e-06,0.0025214528202581743,11.371191870005722
cat__Neighborhood_Blmngtn,0.0049097054,5.305751334806058e-05,0.005141262730894436,10.2726459581905
cat__SaleType_ConLD,0.0048883692,1.8503891223949426e-05,0.0,4.424000570776446
cat__Foundation_BrkTil,0.004819346,0.0005191655450493677,0.013390327714171146,80.3527805008563
cat__MSZoning_C (all),0.0047429716,3.644832470516349e-05,0.0020312290521775633,8.787020637128997
cat__Exterior2nd_BrkFace,0.0045756977,3.0345192890354946e-07,0.0,27.495640785531133
cat__GarageCond_TA,0.0042951484,0.000664509910921809,0.0716953988882556,44.81910527254553
cat__MasVnrType_BrkCmn,0.004249235,3.64578477879835e-06,0.010176120726603566,3.8464748323344686
cat__RoofMatl_CompShg,0.004208735,9.492940015057648e-07,0.0,3.1373931934931223
cat__Condition1_RRAn,0.004198864,8.327048512197259e-06,0.004119189849647542,9.458636558219137
