,AGOP,PCA,MI,SHAP,Perm
cat__HeatingQC_Fa,0.015717177,0.0001601366641102,0.0201793232767419,48.25498480308232,89835.2
cat__Neighborhood_ClearCr,0.015673842,1.1442806375099451e-06,0.0,30.05864558361872,263182.4
cat__SaleType_CWD,0.015647503,6.089993834319068e-07,0.0018685908841387,0.0,59342.4
cat__BsmtFinType1_LwQ,0.015620527,7.791108075398649e-05,0.0168700154363776,106.4313495291094,556265.6
cat__BsmtFinType2_ALQ,0.015086557,5.8020872133503e-09,0.0,13.235625535102654,207715.2
cat__HouseStyle_1.5Fin,0.014138792,0.0003823407560725,0.0399645017086354,181.42138415025687,825640.0
cat__GarageType_Detchd,0.014035632,0.0008007760005543,0.1204299254044267,134.25441952054777,1367934.4
cat__MSSubClass_20,0.014030018,3.88355888282534e-05,0.0052341429497486,370.3824494149538,1352864.0
cat__Condition1_PosN,0.0136497365,1.1362660699147311e-05,0.0,10.437075556507088,-500480.0
cat__Condition1_RRAe,0.013456095,9.05940765755362e-07,0.0091484053664641,13.416295358875704,427820.8
cat__HeatingQC_Gd,0.013321258,8.209832646954692e-05,0.0093653079376538,187.03277033390407,1776456.0
cat__GarageFinish_Fin,0.012924122,0.0007049159106421,0.0969919277857305,113.7261104987159,1677665.6
cat__Neighborhood_SawyerW,0.012684248,6.639186007262256e-06,0.0050945138761371,94.0692376926369,875884.8
cat__FireplaceQu_Ex,0.01261628,8.656380295063489e-05,0.0162179466165,39.99750481592442,486256.0
cat__GarageQual_TA,0.012432264,0.0006361027182546,0.0424172738904511,89.81113953695788,839854.4
